elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,acidification|accumulated exceedance (AE),climate change|global warming potential (GWP100),climate change: biogenic|global warming potential (GWP100),climate change: fossil|global warming potential (GWP100),climate change: land use and land use change|global warming potential (GWP100),particulate matter formation|impact on human health,ecotoxicity: freshwater|comparative toxic unit for ecosystems (CTUe),"ecotoxicity: freshwater, inorganics|comparative toxic unit for ecosystems (CTUe)","ecotoxicity: freshwater, organics|comparative toxic unit for ecosystems (CTUe)",eutrophication: marine|fraction of nutrients reaching marine end compartment (N),eutrophication: freshwater|fraction of nutrients reaching freshwater end compartment (P),eutrophication: terrestrial|accumulated exceedance (AE),human toxicity: carcinogenic|comparative toxic unit for human (CTUh),"human toxicity: carcinogenic, inorganics|comparative toxic unit for human (CTUh)","human toxicity: carcinogenic, organics|comparative toxic unit for human (CTUh)",human toxicity: non-carcinogenic|comparative toxic unit for human (CTUh),"human toxicity: non-carcinogenic, inorganics|comparative toxic unit for human (CTUh)","human toxicity: non-carcinogenic, organics|comparative toxic unit for human (CTUh)",ionising radiation: human health|human exposure efficiency relative to u235,land use|soil quality index,ozone depletion|ozone depletion potential (ODP),photochemical oxidant formation: human health|tropospheric ozone concentration increase,energy resources: non-renewable|abiotic depletion potential (ADP): fossil fuels,material resources: metals/minerals|abiotic depletion potential (ADP): elements (ultimate reserves),water use|user deprivation potential (deprivation-weighted water consumption)
647ae26f-f2fe-44cb-ac81-39bb7736f28e,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,"low population density, long-term",kg,"mapped: synonym, syn_strip, CAS",,1.0,fe0acd60-3ddc-11dd-a6d3-0050c2490048,hfc-134a,Emissions to air,"Emissions to air, unspecified (long-term)",kg,mapped,,1530.0,,1530.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,
16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,non-urban air or from high stacks,kg,"mapped: synonym, syn_strip, CAS",,1.0,fe0acd60-3ddc-11dd-a6d5-0050c2490048,hfc-134a,Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,1530.0,,1530.0,,,0.49227,,0.49227,,,,1.1263e-08,,1.1263e-08,4.7668e-10,,4.7668e-10,,,,,,,
e87f039d-d9ce-4242-ac18-c9284cc80f3d,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,unspecified,kg,"mapped: synonym, syn_strip, CAS",,1.0,fe0acd60-3ddc-11dd-a6d2-0050c2490048,hfc-134a,Emissions to air,"Emissions to air, unspecified",kg,mapped,,1530.0,,1530.0,,,0.49235,,0.49235,,,,1.1728e-08,,1.1728e-08,4.9633e-10,,4.9633e-10,,,,,,,
fa0c2bee-8dd9-4f8a-8489-b1f3b43de958,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,urban air close to ground,kg,"mapped: synonym, syn_strip, CAS",,1.0,fe0acd60-3ddc-11dd-a6d4-0050c2490048,hfc-134a,Emissions to air,Emissions to urban air close to ground,kg,mapped,,1530.0,,1530.0,,,0.49244,,0.49244,,,,1.2193e-08,,1.2193e-08,5.1599e-10,,5.1599e-10,,,,,,,
f8ee4881-a003-4e18-aa2a-d9daf97d76f7,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,"low population density, long-term",kg,mapped: overwrite,,1.0,4d9a8790-3ddd-11dd-925a-0050c2490048,hcfc-140,Emissions to air,"Emissions to air, unspecified (long-term)",kg,mapped,,161.0,,161.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,0.0152,,,
99585564-bfce-4845-9aaa-2f24b8f26a41,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,non-urban air or from high stacks,kg,mapped: overwrite,,1.0,4d9a8790-3ddd-11dd-925c-0050c2490048,hcfc-140,Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,161.0,,161.0,,,4.3159,,4.3159,,,,0.0,,0.0,1.4942e-08,,1.4942e-08,,,,0.0152,,,
ce6294f5-2ed7-46ee-a967-33e265e34455,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,unspecified,kg,mapped: overwrite,,1.0,d86cafdf-6555-11dd-ad8b-0800200c9a66,hcfc-140,Emissions to air,"Emissions to air, unspecified",kg,mapped,,161.0,,161.0,,,4.3169,,4.3169,,,,0.0,,0.0,1.6249e-08,,1.6249e-08,,,,0.0152,,,
818cee9e-231c-4b53-8ed2-47a0001802d5,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,urban air close to ground,kg,mapped: overwrite,,1.0,4d9a8790-3ddd-11dd-925b-0050c2490048,hcfc-140,Emissions to air,Emissions to urban air close to ground,kg,mapped,,161.0,,161.0,,,4.3179,,4.3179,,,,0.0,,0.0,1.7557e-08,,1.7557e-08,,,,0.0152,,,
f84a6dac-bc6e-4efc-bdb0-a0f2a0231d0f,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,ground-,kg,mapped: CAS,,1.0,4d9a8790-3ddd-11dd-925d-0050c2490048,hcfc-140,Emissions to water,Emissions to fresh water,kg,mapped,,,,,,,495.88,,495.88,,,,0.0,,0.0,1.7061e-08,,1.7061e-08,,,,,,,
fc121a47-0538-406f-a335-edd1aac9fae6,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,"ground-, long-term",kg,mapped: CAS,,1.0,4d9a8790-3ddd-11dd-925e-0050c2490048,hcfc-140,Emissions to water,"Emissions to water, unspecified (long-term)",kg,mapped,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,
