elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,climate change|global warming potential (GWP100),acidification|acidification potential (AP),particulate matter formation|particulate matter formation potential (PMFP),ozone depletion|ozone depletion potential (ODP),photochemical oxidant formation|maximum incremental reactivity (MIR),eutrophication|eutrophication potential,ecotoxicity: freshwater|ecotoxicity: freshwater,human toxicity: carcinogenic|human toxicity: carcinogenic,human toxicity: non-carcinogenic|human toxicity: non-carcinogenic
647ae26f-f2fe-44cb-ac81-39bb7736f28e,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,"low population density, long-term",kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-134a,air,unspecified,kg,mapped,1430.0,,,,0.0007272820512820512,,,1.257801051894914e-08,4.59205040444357e-09
16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,non-urban air or from high stacks,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-134a,air,rural air,kg,mapped,1430.0,,,,0.0007272820512820512,,,1.211276877132605e-08,4.422197346035162e-09
e87f039d-d9ce-4242-ac18-c9284cc80f3d,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,unspecified,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-134a,air,unspecified,kg,mapped,1430.0,,,,0.0007272820512820512,,,1.257801051894914e-08,4.59205040444357e-09
fa0c2bee-8dd9-4f8a-8489-b1f3b43de958,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,urban air close to ground,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-134a,air,urban air,kg,mapped,1430.0,,,,0.0007272820512820512,,,1.304325226657223e-08,4.761903462851979e-09
f8ee4881-a003-4e18-aa2a-d9daf97d76f7,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,"low population density, long-term",kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",air,unspecified,kg,mapped,146.0,,,0.12,0.00487974358974359,,0.2049531768398575,,1.773090620673323e-08
99585564-bfce-4845-9aaa-2f24b8f26a41,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,non-urban air or from high stacks,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",air,rural air,kg,mapped,146.0,,,0.12,0.00487974358974359,,0.2049083929924067,,1.64237670710105e-08
ce6294f5-2ed7-46ee-a967-33e265e34455,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",air,unspecified,kg,mapped,146.0,,,0.12,0.00487974358974359,,0.2049531768398575,,1.773090620673323e-08
818cee9e-231c-4b53-8ed2-47a0001802d5,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,urban air close to ground,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",air,urban air,kg,mapped,146.0,,,0.12,0.00487974358974359,,0.2049979606873083,,1.903804534245596e-08
f84a6dac-bc6e-4efc-bdb0-a0f2a0231d0f,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,ground-,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",water,freshwater,kg,mapped,,,,,,,21.69292210943689,,1.621566470905957e-08
fc121a47-0538-406f-a335-edd1aac9fae6,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,"ground-, long-term",kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",water,freshwater,kg,mapped,,,,,,,21.69292210943689,,1.621566470905957e-08
