elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,total|UBP,"water use|water resources, evaporated",energy resources|energy resources,mineral resources|mineral resources,land use|land use,climate change|global warming potential (GWP100),ozone depletion|ozone depletion,emissions to air|air pollutants and PM,emissions to air|carcinogenic substances into air,emissions to air|heavy metals into air,emissions to water|water pollutants,emissions to water|POP into water,emissions to water|heavy metals into water,emissions to soil|pesticides into soil,emissions to soil|heavy metals into soil,emissions to air|radioactive substances into air,emissions to water|radioactive substances into water,"waste disposal|waste, non radioactive",waste disposal|radioactive waste to deposit,natural resources|biotic resources
647ae26f-f2fe-44cb-ac81-39bb7736f28e,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,"low population density, long-term",kg,mapped: overwrite,,1.0,,"ethane, 1,1,1,2-tetrafluoro-, hfc-134a",air,"low population density, long-term",kg,mapped,1300000.0,,,,,1300000.0,,,,,,,,,,,,,,
16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,non-urban air or from high stacks,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1,2-tetrafluoro-, hfc-134a",air,low population density,kg,mapped,1300000.0,,,,,1300000.0,,,,,,,,,,,,,,
e87f039d-d9ce-4242-ac18-c9284cc80f3d,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,unspecified,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1,2-tetrafluoro-, hfc-134a",air,unspecified,kg,mapped,1300000.0,,,,,1300000.0,,,,,,,,,,,,,,
fa0c2bee-8dd9-4f8a-8489-b1f3b43de958,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,urban air close to ground,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1,2-tetrafluoro-, hfc-134a",air,high population density,kg,mapped,1300000.0,,,,,1300000.0,,,,,,,,,,,,,,
f8ee4881-a003-4e18-aa2a-d9daf97d76f7,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,"low population density, long-term",kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trichloro-, hcfc-140",air,"low population density, long-term",kg,mapped,2500000.0,,,,,,2500000.0,,,,,,,,,,,,,
99585564-bfce-4845-9aaa-2f24b8f26a41,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,non-urban air or from high stacks,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trichloro-, hcfc-140",air,low population density,kg,mapped,2500000.0,,,,,,2500000.0,,,,,,,,,,,,,
ce6294f5-2ed7-46ee-a967-33e265e34455,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,unspecified,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trichloro-, hcfc-140",air,unspecified,kg,mapped,2500000.0,,,,,,2500000.0,,,,,,,,,,,,,
818cee9e-231c-4b53-8ed2-47a0001802d5,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,urban air close to ground,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trichloro-, hcfc-140",air,high population density,kg,mapped,2500000.0,,,,,,2500000.0,,,,,,,,,,,,,
f84a6dac-bc6e-4efc-bdb0-a0f2a0231d0f,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,ground-,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trichloro-, hcfc-140",water,ground-,kg,mapped,0.0,,,,,,,,,,0.0,,,,,,,,,
fc121a47-0538-406f-a335-edd1aac9fae6,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,"ground-, long-term",kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trichloro-, hcfc-140",water,"ground-, long-term",kg,mapped,0.0,,,,,,,,,,0.0,,,,,,,,,
fad455a8-a20f-4b6e-8192-0bec95252876,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,ocean,kg,mapped: overwrite,,1.0,,"ethane, 1,1,1-trichloro-, hcfc-140",water,ocean,kg,mapped,1700.0,,,,,,,,,,1700.0,,,,,,,,,
