elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,human toxicity: carcinogenic|comparative toxic unit for human (CTUh),human toxicity: non-carcinogenic|comparative toxic unit for human (CTUh),ecotoxicity: freshwater|comparative toxic unit for ecosystems (CTUe)
647ae26f-f2fe-44cb-ac81-39bb7736f28e,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,"low population density, long-term",kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1,2-tetrafluoroethane",Air,continental rural air,kg,mapped,1.124401398135227e-08,4.105027490066979e-09,0.0
16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,non-urban air or from high stacks,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1,2-tetrafluoroethane",Air,continental rural air,kg,mapped,1.124401398135227e-08,4.105027490066979e-09,0.0
e87f039d-d9ce-4242-ac18-c9284cc80f3d,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1,2-tetrafluoroethane",Air,urban air,kg,mapped,1.217454836495941e-08,4.444752185491137e-09,0.0
fa0c2bee-8dd9-4f8a-8489-b1f3b43de958,"1,1,1,2-Tetrafluoroethane",000811-97-2,C2H2F4,"1,1,1,2-tetrafluoroethane; Ethane, 1,1,1,2-tetrafluoro-; HFC-134a; R134a",air,urban air close to ground,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1,2-tetrafluoroethane",Air,urban air,kg,mapped,1.217454836495941e-08,4.444752185491137e-09,0.0
f8ee4881-a003-4e18-aa2a-d9daf97d76f7,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,"low population density, long-term",kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",Air,continental rural air,kg,mapped,0.0,1.488785962455641e-08,0.1887683932283993
99585564-bfce-4845-9aaa-2f24b8f26a41,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,non-urban air or from high stacks,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",Air,continental rural air,kg,mapped,0.0,1.488785962455641e-08,0.1887683932283993
ce6294f5-2ed7-46ee-a967-33e265e34455,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",Air,urban air,kg,mapped,0.0,1.750220552693607e-08,0.1888569101196754
818cee9e-231c-4b53-8ed2-47a0001802d5,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",air,urban air close to ground,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",Air,urban air,kg,mapped,0.0,1.750220552693607e-08,0.1888569101196754
f84a6dac-bc6e-4efc-bdb0-a0f2a0231d0f,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,ground-,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",Water,continental freshwater,kg,mapped,0.0,1.480207591993163e-08,21.67273035441259
fc121a47-0538-406f-a335-edd1aac9fae6,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,"ground-, long-term",kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",Water,continental freshwater,kg,mapped,0.0,1.480207591993163e-08,21.67273035441259
fad455a8-a20f-4b6e-8192-0bec95252876,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,ocean,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",Water,continental sea water,kg,mapped,0.0,3.966393669737345e-09,0.05025820952133217
9b77be37-3f9d-4ecf-b7b1-86e8390bcf2e,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,surface water,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",Water,continental freshwater,kg,mapped,0.0,1.480207591993163e-08,21.67273035441259
c8e5538f-17a1-4f62-aa64-39a91adb5cd3,"1,1,1-Trichloroethane",000071-55-6,C2H3Cl3,"1,1,1-Trichlorethan; 1,1,1-trichloroethane; Ethane, 1,1,1-trichloro-; HCFC-140",water,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,1-trichloroethane",Water,continental freshwater,kg,mapped,0.0,1.480207591993163e-08,21.67273035441259
bf580c6b-1b4d-429d-bed7-1e335920941f,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,"low population density, long-term",kg,ecoinvent orphan,,,,,,,,,,,
5253e322-7de5-42aa-9167-daf22ff44031,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,non-urban air or from high stacks,kg,ecoinvent orphan,,,,,,,,,,,
e86bfec2-1025-4fa2-90b1-81e35e621e91,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,unspecified,kg,ecoinvent orphan,,,,,,,,,,,
f43b2b80-f5a6-4d31-9980-0754305a978d,"1,1,1-Trifluoroethane",000420-46-2,C2H3F3,"1,1,1-trifluoroethane; Ethane, 1,1,1-trifluoro-; HFC-143a; R143a",air,urban air close to ground,kg,ecoinvent orphan,,,,,,,,,,,
46e55458-0696-5e94-9a8d-e705e05fc2db,"1,1,2,2-Tetrafluoroethene",000116-14-3,C2F4,Tetrafluoroethylene,air,unspecified,kg,"mapped: synonym, syn_strip, CAS",,1.0,,tetrafluoroethylene,Air,urban air,kg,mapped,1.190648655780463e-06,0.0,0.0
d2025041-20ee-41bb-b2c8-47631e839ff0,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,"low population density, long-term",kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloro-1,2,2-trifluoroethane",Air,continental rural air,kg,mapped,0.0,2.323026687644441e-09,0.0
47c12d99-c2dc-41cf-bad1-cd31c2fe0421,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,non-urban air or from high stacks,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloro-1,2,2-trifluoroethane",Air,continental rural air,kg,mapped,0.0,2.323026687644441e-09,0.0
cacfd448-6c2d-4061-9363-fd506b979f25,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloro-1,2,2-trifluoroethane",Air,urban air,kg,mapped,0.0,5.082588953676585e-09,0.0
9b132374-dce2-4ce0-86aa-53201b30f617,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,urban air close to ground,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloro-1,2,2-trifluoroethane",Air,urban air,kg,mapped,0.0,5.082588953676585e-09,0.0
e75faf77-8341-4223-8b46-72391fd0f312,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,"low population density, long-term",kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",Air,continental rural air,kg,mapped,4.180166953556157e-07,1.305406719923088e-06,0.4530267865632091
b4d5edf7-0584-4e43-8ee7-f78511443b0d,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,non-urban air or from high stacks,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",Air,continental rural air,kg,mapped,4.180166953556157e-07,1.305406719923088e-06,0.4530267865632091
b32061b1-8d24-4663-b10d-0a1c705f2937,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",Air,urban air,kg,mapped,1.317983122959167e-06,4.115873946117017e-06,0.4539412354737912
eb53bdf4-5b02-40fa-a1cb-318e207e7eec,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,urban air close to ground,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",Air,urban air,kg,mapped,1.317983122959167e-06,4.115873946117017e-06,0.4539412354737912
c491a3e4-8bf5-57b9-a2e8-b154e8620155,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",water,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",Water,continental freshwater,kg,mapped,7.706354762433118e-07,2.40658504905726e-06,43.48236278884245
