elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,acidification|accumulated exceedance (AE),climate change|global warming potential (GWP100),climate change: biogenic|global warming potential (GWP100),climate change: fossil|global warming potential (GWP100),climate change: land use and land use change|global warming potential (GWP100),particulate matter formation|impact on human health,ecotoxicity: freshwater|comparative toxic unit for ecosystems (CTUe),"ecotoxicity: freshwater, inorganics|comparative toxic unit for ecosystems (CTUe)","ecotoxicity: freshwater, organics|comparative toxic unit for ecosystems (CTUe)",eutrophication: marine|fraction of nutrients reaching marine end compartment (N),eutrophication: freshwater|fraction of nutrients reaching freshwater end compartment (P),eutrophication: terrestrial|accumulated exceedance (AE),human toxicity: carcinogenic|comparative toxic unit for human (CTUh),"human toxicity: carcinogenic, inorganics|comparative toxic unit for human (CTUh)","human toxicity: carcinogenic, organics|comparative toxic unit for human (CTUh)",human toxicity: non-carcinogenic|comparative toxic unit for human (CTUh),"human toxicity: non-carcinogenic, inorganics|comparative toxic unit for human (CTUh)","human toxicity: non-carcinogenic, organics|comparative toxic unit for human (CTUh)",ionising radiation: human health|human exposure efficiency relative to u235,land use|soil quality index,ozone depletion|ozone depletion potential (ODP),photochemical oxidant formation: human health|tropospheric ozone concentration increase,energy resources: non-renewable|abiotic depletion potential (ADP): fossil fuels,material resources: metals/minerals|abiotic depletion potential (ADP): elements (ultimate reserves),water use|user deprivation potential (deprivation-weighted water consumption)
584ffb1c-036d-417b-a9d1-1ec694dc2cdc,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,"low population density, long-term",kg,mapped,False,1.0,4d9a8790-3ddd-11dd-9bc8-0050c2490048,"1,2-dichlorobenzene",Emissions to air,"Emissions to air, unspecified (long-term)",kg,mapped,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,
77db8bd1-5a69-465c-b51f-7b27fbb574a5,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,lower stratosphere + upper troposphere,kg,mapped,False,1.0,e2fb52fa-6555-11dd-ad8b-0800200c9a66,"1,2-dichlorobenzene",Emissions to air,Emissions to lower stratosphere and upper troposphere,kg,mapped,,,,,,,36.93,,36.93,,,,0.0,,0.0,2.3694e-08,,2.3694e-08,,,,,,,
06a42317-47bd-481d-b5ce-e091843497c6,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,non-urban air or from high stacks,kg,mapped,False,1.0,4d9a8790-3ddd-11dd-9bca-0050c2490048,"1,2-dichlorobenzene",Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,,,,,,36.93,,36.93,,,,0.0,,0.0,2.3694e-08,,2.3694e-08,,,,,,,
b1c36287-329c-49f0-93c2-68246d34007c,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,unspecified,kg,mapped,False,1.0,4d9a8790-3ddd-11dd-9bc7-0050c2490048,"1,2-dichlorobenzene",Emissions to air,"Emissions to air, unspecified",kg,mapped,,,,,,,36.985,,36.985,,,,0.0,,0.0,4.1652e-08,,4.1652e-08,,,,,,,
9645e02f-855a-4b9f-8baf-f34a08fa80c4,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,urban air close to ground,kg,mapped,True,1.0,4d9a8790-3ddd-11dd-9bc9-0050c2490048,"1,2-dichlorobenzene",Emissions to air,Emissions to urban air close to ground,kg,mapped,,,,,,,37.039,,37.039,,,,0.0,,0.0,5.961e-08,,5.961e-08,,,,,,,
59af2a59-f4ed-43a0-b5ab-887de45b9571,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,ground-,kg,mapped,False,1.0,4d9a8790-3ddd-11dd-9bcb-0050c2490048,"1,2-dichlorobenzene",Emissions to water,Emissions to fresh water,kg,mapped,,,,,,,9276.0,,9276.0,,,,0.0,,0.0,3.5555e-07,,3.5555e-07,,,,,,,
34e58a19-2d02-4e10-bc24-22e4bc7702d6,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,"ground-, long-term",kg,mapped,False,1.0,4d9a8790-3ddd-11dd-9bcc-0050c2490048,"1,2-dichlorobenzene",Emissions to water,"Emissions to water, unspecified (long-term)",kg,mapped,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,
d0caddde-f101-4d86-9beb-d46d2d430eb0,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,ocean,kg,mapped,False,1.0,4d9a8790-3ddd-11dd-9bcf-0050c2490048,"1,2-dichlorobenzene",Emissions to water,Emissions to sea water,kg,mapped,,,,,,,17.332,,17.332,,,,0.0,,0.0,9.0765e-08,,9.0765e-08,,,,,,,
79b3f708-dd3f-4ccb-9121-a4cdd46e0dc4,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,surface water,kg,mapped,True,1.0,4d9a8790-3ddd-11dd-9bcb-0050c2490048,"1,2-dichlorobenzene",Emissions to water,Emissions to fresh water,kg,mapped,,,,,,,9276.0,,9276.0,,,,0.0,,0.0,3.5555e-07,,3.5555e-07,,,,,,,
67070d27-426e-43e9-98e8-309952f78140,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,unspecified,kg,mapped,False,1.0,4d9a8790-3ddd-11dd-9bcd-0050c2490048,"1,2-dichlorobenzene",Emissions to water,"Emissions to water, unspecified",kg,mapped,,,,,,,9276.0,,9276.0,,,,0.0,,0.0,2.2316e-07,,2.2316e-07,,,,,,,
5b7d620e-2238-5ec9-888a-6999218b6974,"1,3-Dioxolan-2-one",000096-49-1,C3H4O3,,water,unspecified,kg,mapped,True,1.0,888f2557-42ee-4fb5-a6e2-12292c6a7a13,"1,3-dioxolan-2-one",Emissions to water,"Emissions to water, unspecified",kg,mapped,,,,,,,5.3426,,5.3426,,,,,,,1.6627e-08,,1.6627e-08,,,,,,,
d21da01e-f96f-4db5-9746-7b70db8a1f2c,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,"low population density, long-term",kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90653a29-2f53-4b1b-88bd-9ae2fe64a8d6,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,lower stratosphere + upper troposphere,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83bafcf1-2f2e-4a32-89a0-f1f16ca10626,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,non-urban air or from high stacks,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09db39be-d9a6-4fc3-8d25-1f80b23e9131,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,unspecified,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38a622c6-f086-4763-a952-7c6b3b1c42ba,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,urban air close to ground,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5de5e4d-85cf-4102-9ff1-5248d8928ba1,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,ground-,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564dde7f-e713-4baf-84aa-7a11ffa7e2cd,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,"ground-, long-term",kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aae8aac7-b81d-41e4-b356-912b369d1c55,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,ocean,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6911d36-3fec-41fe-8ef9-540f6543a240,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,surface water,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d835b7aa-288b-4b3a-966b-3f64f36ed220,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,unspecified,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9dd01d5b-3677-4822-9cd4-36d21b0e23d1,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,air,"low population density, long-term",kg,mapped,False,1.0,476a81ff-60ca-44bf-9485-0185095facbc,pentan-1-ol,Emissions to air,"Emissions to air, unspecified (long-term)",kg,mapped,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,
b78e77cb-7636-4420-855e-17239984f8b3,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,air,lower stratosphere + upper troposphere,kg,mapped,False,1.0,fb1af5bd-4ee5-402b-95f3-a61b2794e1f3,pentan-1-ol,Emissions to air,Emissions to lower stratosphere and upper troposphere,kg,mapped,,,,,,,0.77446,,0.77446,,,,,,,3.5798e-09,,3.5798e-09,,,,,,,
cc9a442f-c96a-4bdc-990d-8b58f72b4e07,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,air,non-urban air or from high stacks,kg,mapped,False,1.0,9578fb76-9c00-44ff-a991-cd116cb36231,pentan-1-ol,Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,,,,,,0.77446,,0.77446,,,,,,,3.5798e-09,,3.5798e-09,,,,,,,
048baf1e-6cdc-44a5-92e2-32d15ff54885,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,air,unspecified,kg,mapped,False,1.0,11851a5e-7169-4d44-8a0e-886796fc9b57,pentan-1-ol,Emissions to air,"Emissions to air, unspecified",kg,mapped,,,,,,,0.77627,,0.77627,,,,,,,3.3235e-08,,3.3235e-08,,,,,,,
541a823c-0aad-4dc4-9123-d4af4647d942,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,air,urban air close to ground,kg,mapped,True,1.0,9758dad7-53a4-4b38-9404-b6db9cb28c8b,pentan-1-ol,Emissions to air,Emissions to urban air close to ground,kg,mapped,,,,,,,0.77808,,0.77808,,,,,,,6.289e-08,,6.289e-08,,,,,,,
5074e239-b510-49aa-928c-fcdb462481d8,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,water,ground-,kg,mapped,False,1.0,09183939-8fb4-4c8a-835f-85026db3cd78,pentan-1-ol,Emissions to water,Emissions to fresh water,kg,mapped,,,,,,,61.45,,61.45,,,,,,,7.3775e-09,,7.3775e-09,,,,,,,
cfa50eaf-a817-4352-b9fe-aa834240d269,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,water,"ground-, long-term",kg,mapped,False,1.0,061a2617-bece-4ace-a824-6a71049bc74c,pentan-1-ol,Emissions to water,"Emissions to water, unspecified (long-term)",kg,mapped,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,
8d28a5b3-1b1c-41e9-9eba-90c607aad7db,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,water,ocean,kg,mapped,False,1.0,dc58fab4-3357-496d-84ee-57b8985c7900,pentan-1-ol,Emissions to water,Emissions to sea water,kg,mapped,,,,,,,0.01538,,0.01538,,,,,,,7.7269e-11,,7.7269e-11,,,,,,,
e4526360-b2a1-4e77-9f00-57dbfe228bde,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,water,surface water,kg,mapped,True,1.0,09183939-8fb4-4c8a-835f-85026db3cd78,pentan-1-ol,Emissions to water,Emissions to fresh water,kg,mapped,,,,,,,61.45,,61.45,,,,,,,7.3775e-09,,7.3775e-09,,,,,,,
070dc6b3-0976-45a0-803e-0a87d7e96959,1-Pentanol,000071-41-0,C5H12O,amyl alcohol; pentan-1-ol,water,unspecified,kg,mapped,False,1.0,ac56e764-b13b-4dcd-abd6-9c43fcbaf781,pentan-1-ol,Emissions to water,"Emissions to water, unspecified",kg,mapped,,,,,,,61.45,,61.45,,,,,,,3.7274e-09,,3.7274e-09,,,,,,,
47a8dfb8-f1e5-4460-b7ca-eeea1ca44596,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,air,"low population density, long-term",kg,mapped,False,1.0,fe0acd60-3ddc-11dd-9fe3-0050c2490048,1-pentene,Emissions to air,"Emissions to air, unspecified (long-term)",kg,mapped,,,,,,,0.0,,0.0,,,,,,,,,,,,,1.65,,,
87eed31b-5a6b-43ae-9a02-778a8c6e4ff8,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,air,lower stratosphere + upper troposphere,kg,mapped,False,1.0,f214d52f-6555-11dd-ad8b-0800200c9a66,1-pentene,Emissions to air,Emissions to lower stratosphere and upper troposphere,kg,mapped,,,,,,,0.00018756,,0.00018756,,,,,,,,,,,,,1.65,,,
ccfea48e-0aec-4573-8ed1-fb7c0f1b14ae,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,air,non-urban air or from high stacks,kg,mapped,False,1.0,fe0acd60-3ddc-11dd-9fe5-0050c2490048,1-pentene,Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,,,,,,0.00018756,,0.00018756,,,,,,,,,,,,,1.65,,,
651cbfbb-3027-4e20-a5b0-4a67e86e837a,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,air,unspecified,kg,mapped,False,1.0,fe0acd60-3ddc-11dd-9fe2-0050c2490048,1-pentene,Emissions to air,"Emissions to air, unspecified",kg,mapped,,,,,,,0.00025056,,0.00025056,,,,,,,,,,,,,1.65,,,
8cbaa905-41b0-4327-8403-bf1c8eb25429,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,air,urban air close to ground,kg,mapped,True,1.0,fe0acd60-3ddc-11dd-9fe4-0050c2490048,1-pentene,Emissions to air,Emissions to urban air close to ground,kg,mapped,,,,,,,0.00031356,,0.00031356,,,,,,,,,,,,,1.65,,,
7a41be00-7040-4097-99be-a8085e86bf5e,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,water,ground-,kg,mapped,False,1.0,f214d52e-6555-11dd-ad8b-0800200c9a66,1-pentene,Emissions to water,Emissions to fresh water,kg,mapped,,,,,,,224.58,,224.58,,,,,,,,,,,,,,,,
4530576f-7f93-4c43-b13e-8cd2da98f501,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,water,"ground-, long-term",kg,mapped,False,1.0,f214d534-6555-11dd-ad8b-0800200c9a66,1-pentene,Emissions to water,"Emissions to water, unspecified (long-term)",kg,mapped,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,
9d99096b-4e70-452b-9e3b-b2296613bc0f,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,water,ocean,kg,mapped,False,1.0,f214d531-6555-11dd-ad8b-0800200c9a66,1-pentene,Emissions to water,Emissions to sea water,kg,mapped,,,,,,,9.0409e-05,,9.0409e-05,,,,,,,,,,,,,,,,
f3cf9958-739f-41c1-a679-f550cf0e9b6c,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,water,surface water,kg,mapped,True,1.0,f214d52e-6555-11dd-ad8b-0800200c9a66,1-pentene,Emissions to water,Emissions to fresh water,kg,mapped,,,,,,,224.58,,224.58,,,,,,,,,,,,,,,,
109c3ee9-b9df-4c11-bd77-b8571773d9ad,1-Pentene,000109-67-1,C5H10,amylene; pent-1-ene,water,unspecified,kg,mapped,False,1.0,f214d533-6555-11dd-ad8b-0800200c9a66,1-pentene,Emissions to water,"Emissions to water, unspecified",kg,mapped,,,,,,,224.58,,224.58,,,,,,,,,,,,,,,,
5e98fd60-8da0-4006-9729-4d2797f96302,"2,2,4-Trimethyl pentane",000540-84-1,C8H18,"2,2,4-trimethylpentane",air,unspecified,kg,mapped,True,1.0,08a91e70-3ddc-11dd-994b-0050c2490048,"2,2,4-trimethylpentane",Emissions to air,"Emissions to air, unspecified",kg,mapped,,,,,,,0.0012122,,0.0012122,,,,,,,2.0736e-10,,2.0736e-10,,,,,,,
e6137e6e-84a6-4fa1-a5bf-47c8153d7c05,"2,4-D",000094-75-7,C8H6Cl2O3,"(2,4-dichlorophenoxy)acetic acid; 2-(2,4-dichlorophenoxy)acetic acid",air,non-urban air or from high stacks,kg,mapped,True,1.0,fe0acd60-3ddc-11dd-a838-0050c2490048,"(2,4-dichlorophenoxy)acetic acid",Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,,,,,,7538.2,,7538.2,,,,0.0,,0.0,3.2675e-06,,3.2675e-06,,,,,,,
f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,"2,4-D",000094-75-7,C8H6Cl2O3,"(2,4-dichlorophenoxy)acetic acid; 2-(2,4-dichlorophenoxy)acetic acid",soil,agricultural,kg,mapped,True,1.0,08a91e70-3ddc-11dd-918a-0050c2490048,"(2,4-dichlorophenoxy)acetic acid",Emissions to soil,Emissions to agricultural soil,kg,mapped,,,,,,,10976.0,,10976.0,,,,0.0,,0.0,1.5974e-06,,1.5974e-06,,,,,,,
fffd291b-a67f-5b96-86cf-534a2132f062,"2,4-D",000094-75-7,C8H6Cl2O3,"(2,4-dichlorophenoxy)acetic acid; 2-(2,4-dichlorophenoxy)acetic acid",soil,forestry,kg,mapped,True,1.0,fe0acd60-3ddc-11dd-a83c-0050c2490048,"(2,4-dichlorophenoxy)acetic acid",Emissions to soil,Emissions to non-agricultural soil,kg,mapped,,,,,,,10976.0,,10976.0,,,,0.0,,0.0,2.5687e-07,,2.5687e-07,,,,,,,
