elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,climate change|global warming potential (GWP20),climate change|global warming potential (GWP100),climate change|global warming potential (GWP500),climate change|global temperature change potential (GTP50),climate change|global temperature change potential (GTP100),climate change: including SLCFs|global warming potential (GWP20),climate change: including SLCFs|global warming potential (GWP100),climate change: including SLCFs|global temperature change potential (GTP100),climate change: fossil|global warming potential (GWP20),climate change: fossil|global warming potential (GWP100),climate change: fossil|global warming potential (GWP500),climate change: fossil|global temperature change potential (GTP50),climate change: fossil|global temperature change potential (GTP100),"climate change: fossil, including SLCFs|global warming potential (GWP20)","climate change: fossil, including SLCFs|global warming potential (GWP100)","climate change: fossil, including SLCFs|global temperature change potential (GTP100)",climate change: biogenic|global warming potential (GWP20),climate change: biogenic|global warming potential (GWP100),climate change: biogenic|global warming potential (GWP500),climate change: biogenic|global temperature change potential (GTP50),climate change: biogenic|global temperature change potential (GTP100),"climate change: biogenic, including SLCFs|global warming potential (GWP20)","climate change: biogenic, including SLCFs|global warming potential (GWP100)","climate change: biogenic, including SLCFs|global temperature change potential (GTP100)",climate change: land use|global warming potential (GWP20),climate change: land use|global warming potential (GWP100),climate change: land use|global warming potential (GWP500),climate change: land use|global temperature change potential (GTP50),climate change: land use|global temperature change potential (GTP100),"climate change: land use, including SLCFs|global warming potential (GWP20)","climate change: land use, including SLCFs|global warming potential (GWP100)","climate change: land use, including SLCFs|global temperature change potential (GTP100)"
584ffb1c-036d-417b-a9d1-1ec694dc2cdc,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,"low population density, long-term",kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77db8bd1-5a69-465c-b51f-7b27fbb574a5,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,lower stratosphere + upper troposphere,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06a42317-47bd-481d-b5ce-e091843497c6,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,non-urban air or from high stacks,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1c36287-329c-49f0-93c2-68246d34007c,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,unspecified,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9645e02f-855a-4b9f-8baf-f34a08fa80c4,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,urban air close to ground,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59af2a59-f4ed-43a0-b5ab-887de45b9571,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,ground-,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34e58a19-2d02-4e10-bc24-22e4bc7702d6,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,"ground-, long-term",kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0caddde-f101-4d86-9beb-d46d2d430eb0,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,ocean,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b3f708-dd3f-4ccb-9121-a4cdd46e0dc4,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,surface water,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67070d27-426e-43e9-98e8-309952f78140,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,unspecified,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
