elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,climate change|global warming potential (GWP100),acidification|acidification potential (AP),particulate matter formation|particulate matter formation potential (PMFP),ozone depletion|ozone depletion potential (ODP),photochemical oxidant formation|maximum incremental reactivity (MIR),eutrophication|eutrophication potential,ecotoxicity: freshwater|ecotoxicity: freshwater,human toxicity: carcinogenic|human toxicity: carcinogenic,human toxicity: non-carcinogenic|human toxicity: non-carcinogenic
584ffb1c-036d-417b-a9d1-1ec694dc2cdc,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,"low population density, long-term",kg,mapped,False,1.0,,"1,2-dichlorobenzene",air,unspecified,kg,mapped,,,,,0.1783651282051282,,2.746423627003418,,3.95240352962132e-08
77db8bd1-5a69-465c-b51f-7b27fbb574a5,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,lower stratosphere + upper troposphere,kg,mapped,False,1.0,,"1,2-dichlorobenzene",air,unspecified,kg,mapped,,,,,0.1783651282051282,,2.746423627003418,,3.95240352962132e-08
06a42317-47bd-481d-b5ce-e091843497c6,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,non-urban air or from high stacks,kg,mapped,False,1.0,,"1,2-dichlorobenzene",air,rural air,kg,mapped,,,,,0.1783651282051282,,2.738785679816528,,2.156742828687684e-08
b1c36287-329c-49f0-93c2-68246d34007c,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,unspecified,kg,mapped,False,1.0,,"1,2-dichlorobenzene",air,unspecified,kg,mapped,,,,,0.1783651282051282,,2.746423627003418,,3.95240352962132e-08
9645e02f-855a-4b9f-8baf-f34a08fa80c4,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",air,urban air close to ground,kg,mapped,True,1.0,,"1,2-dichlorobenzene",air,urban air,kg,mapped,,,,,0.1783651282051282,,2.754061574190309,,5.748064230554958e-08
59af2a59-f4ed-43a0-b5ab-887de45b9571,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,ground-,kg,mapped,False,1.0,,"1,2-dichlorobenzene",water,freshwater,kg,mapped,,,,,,,586.9844535727717,,7.176224143375262e-08
34e58a19-2d02-4e10-bc24-22e4bc7702d6,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,"ground-, long-term",kg,mapped,False,1.0,,"1,2-dichlorobenzene",water,freshwater,kg,mapped,,,,,,,586.9844535727717,,7.176224143375262e-08
d0caddde-f101-4d86-9beb-d46d2d430eb0,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,ocean,kg,mapped,False,1.0,,"1,2-dichlorobenzene",water,sea water,kg,mapped,,,,,,,0.486803588069124,,9.416239543216468e-09
79b3f708-dd3f-4ccb-9121-a4cdd46e0dc4,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,surface water,kg,mapped,True,1.0,,"1,2-dichlorobenzene",water,freshwater,kg,mapped,,,,,,,586.9844535727717,,7.176224143375262e-08
67070d27-426e-43e9-98e8-309952f78140,"1,2-Dichlorobenzene",000095-50-1,C6H4Cl2,"benzene, 1,2-dichloro-; o-Dichlorobenzene",water,unspecified,kg,mapped,False,1.0,,"1,2-dichlorobenzene",water,freshwater,kg,mapped: proxy,,,,,,,586.9844535727717,,7.176224143375262e-08
